event_ticker,match_name,kickoff_utc,stage,status_detail,went_et,went_pens,est_end_utc,match_confidence,notes
KXWCMENTION-26JUN27COLPOR,Colombia vs Portugal,2026-06-27T23:30Z,group,FT,0,0,2026-06-28T01:28:18+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN27CODUZB,Congo DR vs Uzbekistan,2026-06-27T23:30Z,group,FT,0,0,2026-06-28T01:31:58+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN27PANENG,Panama vs England,2026-06-27T21:00Z,group,FT,0,0,2026-06-27T22:55:20+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN27CROGHA,Croatia vs Ghana,2026-06-27T21:00Z,group,FT,0,0,2026-06-27T22:58:43+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN28RSACAN,South Africa vs Canada,2026-06-28T19:00Z,R32,FT,0,0,2026-06-28T20:57:02+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN29NEDMAR,Netherlands vs Morocco,2026-06-30T01:00Z,R32,FT-Pens,1,1,2026-06-30T03:53:12+00:00,high,end from ESPN wallclock (End Match)
KXWCMENTION-26JUN29GERPAR,Germany vs Paraguay,2026-06-29T20:30Z,R32,FT-Pens,1,1,2026-06-29T23:28:52+00:00,high,end from ESPN wallclock (End Match)
KXWCMENTION-26JUN29BRAJPN,Brazil vs Japan,2026-06-29T17:00Z,R32,FT,0,0,2026-06-29T19:02:41+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN30MEXECU,Mexico vs Ecuador,2026-07-01T02:00Z,R32,FT,0,0,2026-07-01T04:01:34+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN30FRASWE,France vs Sweden,2026-06-30T21:00Z,R32,FT,0,0,2026-06-30T22:53:44+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN30CIVNOR,Ivory Coast vs Norway,2026-06-30T17:00Z,R32,FT,0,0,2026-06-30T18:58:46+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL01USABIH,USA vs Bosnia and Herzegovina,2026-07-02T00:00Z,R32,FT,0,0,2026-07-02T02:06:32+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL01BELSEN,Belgium vs Senegal,2026-07-01T20:00Z,R32,AET,1,0,2026-07-01T22:49:34+00:00,high,end from ESPN wallclock (End Extra Time)
KXWCMENTION-26JUL01ENGCOD,England vs Congo DR,2026-07-01T16:00Z,R32,FT,0,0,2026-07-01T18:00:15+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL02SUIDZA,Switzerland vs Algeria,2026-07-03T03:00Z,R32,FT,0,0,2026-07-03T04:56:37+00:00,med,"end from ESPN wallclock (End Regular Time); matched by team names (Kalshi ISO code vs ESPN FIFA code, e.g. DZA/ALG, HTI/HAI)"
KXWCMENTION-26JUL02PORCRO,Portugal vs Croatia,2026-07-02T23:00Z,R32,FT,0,0,2026-07-03T01:09:32+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL02ESPAUT,Spain vs Austria,2026-07-02T19:00Z,R32,FT,0,0,2026-07-02T20:58:15+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL03COLGHA,Colombia vs Ghana,2026-07-04T01:30Z,R32,FT,0,0,2026-07-04T03:31:41+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL03ARGCPV,Argentina vs Cape Verde,2026-07-03T22:00Z,R32,AET,1,0,2026-07-04T00:44:24+00:00,high,end from ESPN wallclock (End Extra Time)
KXWCMENTION-26JUL03AUSEGY,Australia vs Egypt,2026-07-03T18:00Z,R32,FT-Pens,1,1,2026-07-03T20:52:29+00:00,high,end from ESPN wallclock (End Match)
KXWCMENTION-26JUL04PARFRA,Paraguay vs France,2026-07-04T21:00Z,R16,FT,0,0,2026-07-04T23:04:23+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL04CANMAR,Canada vs Morocco,2026-07-04T17:00Z,R16,FT,0,0,2026-07-04T19:03:44+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL05MEXENG,Mexico vs England,2026-07-06T01:00Z,R16,FT,0,0,2026-07-06T03:05:07+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL05BRANOR,Brazil vs Norway,2026-07-05T20:00Z,R16,FT,0,0,2026-07-05T22:04:17+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL06USABEL,USA vs Belgium,2026-07-07T00:00Z,R16,FT,0,0,2026-07-07T01:58:36+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL06PORESP,Portugal vs Spain,2026-07-06T19:00Z,R16,FT,0,0,2026-07-06T21:01:41+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL07SUICOL,Switzerland vs Colombia,2026-07-07T20:00Z,R16,FT-Pens,1,1,2026-07-07T22:51:08+00:00,high,end from ESPN wallclock (End Match)
KXWCMENTION-26JUL07ARGEGY,Argentina vs Egypt,2026-07-07T16:00Z,R16,FT,0,0,2026-07-07T18:06:54+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL09FRAMAR,France vs Morocco,2026-07-09T20:00Z,QF,FT,0,0,2026-07-09T22:00:50+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL10ESPBEL,Spain vs Belgium,2026-07-10T19:00Z,QF,FT,0,0,2026-07-10T20:59:30+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL11ARGSUI,Argentina vs Switzerland,2026-07-12T01:00Z,QF,AET,1,0,2026-07-12T03:44:36+00:00,high,end from ESPN wallclock (End Extra Time)
KXWCMENTION-26JUL11NORENG,Norway vs England,2026-07-11T21:00Z,QF,AET,1,0,2026-07-11T23:46:33+00:00,high,end from ESPN wallclock (End Extra Time)
KXWCMENTION-26JUL14FRAESP,France vs Spain,2026-07-14T19:00Z,SF,FT,0,0,2026-07-14T20:59:11+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUL15ENGARG,England vs Argentina,2026-07-15T19:00Z,SF,FT,0,0,2026-07-15T21:02:58+00:00,high,end from ESPN wallclock (End Regular Time)
